0x00403810    2 92           entry0
0x0040661c   14 696          sym.session_description_add_codec
0x00405e6c    1 12           sym.peer_connection_ontrack
0x00405a40   30 71008 -> 820  sym.peer_connection_set_remote_candidate
0x0040761c    9 260          sym.iceserver_rcv
0x0040cf1c   24 688          sym.on_call_event
0x0040d214    4 96           sym.alloc_webrtc_context
0x004165f0    1 16           fcn.004165f0
0x00412490    3 164          sym.__libc_csu_init
0x0040f240    3 64           sym.webrtc_shm_cmd_process
0x004166b0    1 16           fcn.004166b0
0x00411070   11 188          sym.webrtc_cmd
0x0040f450    7 460          sym.webrtc_generate_stop_json
0x0041034c   62 2804         sym.process_fifo_cmd
0x00403930    1 36           sym.cb_dtls_verify
0x00416500    1 16           fcn.00416500
0x00405e54    1 12           sym.peer_connection_onicecandidate
0x0040ca74    8 564          sym.signaling_websockets
0x00416ac0    1 16           fcn.00416ac0
0x00406614    1 8            sym.session_description_get_content
0x00410ec0    1 36           sym.webrtc_ipcsem_post
0x00416950    1 16           fcn.00416950
0x0040e904   16 888          sym.destory_wrtc_pc_session
0x0040e160   49 1880         sym.webrtc_conf_init
0x00412480    1 8            sym.log_get_level
0x004063b8    6 268          sym.session_description_update_mdns_of_candidate
0x00406ce0    3 32           sym.signaling_destroy
0x00405030    3 128          sym.set_stun_server
0x0040f61c   11 404          sym.webrtc_shm_sem_init
0x0040692c   16 452          sym.session_description_parse_rtpmap
0x004061e0    8 204          sym.rtcp_packet_get_fir
0x0040e8b8    1 44           sym.webrtc_log_init
0x004068d4    5 65548 -> 104  sym.session_description_find_ssrc
0x0040f7b0    7 196          sym.webrtc_shm_sem_deinit
0x0040e8e4    1 8            sym.webrtc_log_deinit
0x00412308    2 19080 -> 24   sym.h264_packetizer_send
0x00412380    5 68           sym.h264_frame_free
0x0040a03c    6 356          sym.signaling_wsocket_create
0x004063a0    3 24           sym.session_description_destroy
0x004122b0    7 88           sym.h264_packetizer_destroy
0x00404658    2 75368 -> 24   sym.dtls_transport_encrypt_rtp_packet
0x0040dd14    1 112          sym.pear_wrtc_start
0x00409668   77 2516         sym.signaling_wsocket_call_request
0x0040a1a0   15 304  -> 308  sym.signaling_wsocket_destroy
0x0040bc60   50 2404 -> 2284 sym.send_h264_thread
0x0040baa8    3 108          sym.add_ice_send_buf
0x00411260   11 588          sym.memory_monitor
0x0040d274    1 12           sym.get_webrtc_context
0x0040d1d8    1 60           sym.get_now_us
0x004164f0    1 16           fcn.004164f0
0x004062ac    1 120          sym.rtcp_packet_parse_rr
0x0040bc38    1 40           sym.utils_is_valid_ip_address
0x00416b10    1 16           fcn.00416b10
0x0040e0d8    1 136          sym.webrtc_signal_init
0x00416220    1 16           fcn.00416220
0x004166c0    1 16           fcn.004166c0
0x004123c4    9 172          sym.h264_parser_get_next_frame
0x00411d40    1 72           sym.get_total_time
0x0040f280    7 464          sym.webrtc_generate_start_json
0x00403954   28 77516 -> 1028 sym.generate_self_certificate
0x00404670    3 48           sym.media_stream_new
0x00408288    7 332          sym.get_cxy_ice_thd
0x0040f874   21 924          sym.webrtc_shm_init
0x00410e40    3 128          sym.webrtc_shm_monitor
0x0040ff90   12 468          sym.webrtc_fifo_init
0x00407268   17 948          sym.update_ice_server
0x00407228    1 8            sym.HAL_getPort
0x00410ee4    1 36           sym.webrtc_ipcsem_wait
0x004167a0    1 16           fcn.004167a0
0x00416130    1 16           sym.imp.__libc_start_main
0x0040386c    1 4            sym.imp.cJSON_AddArrayToObject
0x00416fc0    1 16           sym.imp.nice_candidate_free
0x00416580    1 16           fcn.00416580
0x00416790    1 16           fcn.00416790
0x00416350    1 16           fcn.00416350
0x00416b90    1 16           fcn.00416b90
0x00416320    1 16           fcn.00416320
0x00416dd0    1 16           fcn.00416dd0
0x00416120    1 16           fcn.00416120
0x004168b0    1 16           fcn.004168b0
0x00416180    1 16           fcn.00416180
0x004166e0    1 16           fcn.004166e0
0x00416750    1 16           fcn.00416750
0x00416ce0    1 16           fcn.00416ce0
0x00416c90    1 16           fcn.00416c90
0x00416ba0    1 16           fcn.00416ba0
0x00416440    1 16           fcn.00416440
0x004161e0    1 16           fcn.004161e0
0x00416ed0    1 16           fcn.00416ed0
0x00416560    1 16           fcn.00416560
0x00416910    1 16           fcn.00416910
0x00416c50    1 16           fcn.00416c50
0x00416290    1 16           fcn.00416290
0x00416780    1 16           fcn.00416780
0x00416d90    1 16           fcn.00416d90
0x00416710    1 16           fcn.00416710
0x00416680    1 16           fcn.00416680
0x00416fd0    1 16           fcn.00416fd0
0x00416300    1 16           fcn.00416300
0x00416a50    1 16           fcn.00416a50
0x00416e80    1 16           fcn.00416e80
0x004168e0    1 16           fcn.004168e0
0x004162c0    1 16           fcn.004162c0
0x00416ae0    1 16           fcn.00416ae0
0x00416550    1 16           fcn.00416550
0x00416690    1 16           fcn.00416690
0x00416590    1 16           fcn.00416590
0x004162a0    1 16           fcn.004162a0
0x00416b50    1 16           fcn.00416b50
0x00416970    1 16           fcn.00416970
0x00416740    1 16           fcn.00416740
0x004160f0    1 16           fcn.004160f0
0x004167c0    1 16           fcn.004167c0
0x004161c0    1 16           fcn.004161c0
0x00416bf0    1 16           fcn.00416bf0
0x00416210    1 16           fcn.00416210
0x00416d70    1 16           fcn.00416d70
0x00416f30    1 16           fcn.00416f30
0x004162b0    1 16           fcn.004162b0
0x00416250    1 16           fcn.00416250
0x00416390    1 16           fcn.00416390
0x004169a0    1 16           fcn.004169a0
0x00416da0    1 16           fcn.00416da0
0x004161b0    1 16           fcn.004161b0
0x00416800    1 16           fcn.00416800
0x00416e60    1 16           fcn.00416e60
0x004169b0    1 16           fcn.004169b0
0x004163e0    1 16           fcn.004163e0
0x004160e0    1 16           fcn.004160e0
0x00416c10    1 16           fcn.00416c10
0x00416c70    1 16           fcn.00416c70
0x00416cc0    1 16           fcn.00416cc0
0x004165c0    1 16           fcn.004165c0
0x00416eb0    1 16           fcn.00416eb0
0x004162e0    1 16           fcn.004162e0
0x00416db0    1 16           fcn.00416db0
0x00416160    1 16           fcn.00416160
0x004160d0    1 16           fcn.004160d0
0x00416d20    1 16           fcn.00416d20
0x00416240    1 16           fcn.00416240
0x00416270    1 16           fcn.00416270
0x00416ab0    1 16           fcn.00416ab0
0x00416170    1 16           fcn.00416170
0x00416e70    1 16           fcn.00416e70
0x004167e0    1 16           fcn.004167e0
0x00416720    1 16           fcn.00416720
0x00416c60    1 16           fcn.00416c60
0x00416670    1 16           fcn.00416670
0x00416330    1 16           fcn.00416330
0x00416d40    1 16           fcn.00416d40
0x00416c00    1 16           fcn.00416c00
0x00416760    1 16           fcn.00416760
0x00416e20    1 16           fcn.00416e20
0x00416c30    1 16           fcn.00416c30
0x00416a20    1 16           fcn.00416a20
0x004161f0    1 16           fcn.004161f0
0x00416520    1 16           fcn.00416520
0x00416fa0    1 16           fcn.00416fa0
0x00416dc0    1 16           fcn.00416dc0
0x00416f80    1 16           fcn.00416f80
0x00416570    1 16           fcn.00416570
0x004165b0    1 16           fcn.004165b0
0x00416a60    1 16           fcn.00416a60
0x00416530    1 16           fcn.00416530
0x00416d00    1 16           fcn.00416d00
0x00416920    1 16           fcn.00416920
0x00416280    1 16           fcn.00416280
0x00416770    1 16           fcn.00416770
0x00416bd0    1 16           fcn.00416bd0
0x004163f0    1 16           fcn.004163f0
0x00416e10    1 16           fcn.00416e10
0x004162f0    1 16           fcn.004162f0
0x004161d0    1 16           fcn.004161d0
0x00416f70    1 16           fcn.00416f70
0x00416c80    1 16           fcn.00416c80
0x00416a10    1 16           fcn.00416a10
0x004168f0    1 16           fcn.004168f0
0x00416b60    1 16           fcn.00416b60
0x00416f00    1 16           fcn.00416f00
0x00416de0    1 16           fcn.00416de0
0x00416f60    1 16           fcn.00416f60
0x004163c0    1 16           fcn.004163c0
0x00416bc0    1 16           fcn.00416bc0
0x00416410    1 16           fcn.00416410
0x004163b0    1 16           fcn.004163b0
0x00416ea0    1 16           fcn.00416ea0
0x004166f0    1 16           fcn.004166f0
0x00416600    1 16           fcn.00416600
0x00416c40    1 16           fcn.00416c40
0x00416cd0    1 16           fcn.00416cd0
0x00416540    1 16           fcn.00416540
0x00416470    1 16           fcn.00416470
0x004165e0    1 16           fcn.004165e0
0x004169f0    1 16           fcn.004169f0
0x004167f0    1 16           fcn.004167f0
0x00416100    1 16           fcn.00416100
0x00416b40    1 16           fcn.00416b40
0x00416630    1 16           fcn.00416630
0x00416360    1 16           fcn.00416360
0x00416860    1 16           fcn.00416860
0x00416150    1 16           fcn.00416150
0x00416480    1 16           fcn.00416480
0x004164c0    1 16           fcn.004164c0
0x00416730    1 16           fcn.00416730
0x00416140    1 16           fcn.00416140
0x00416850    1 16           fcn.00416850
0x00416bb0    1 16           fcn.00416bb0
0x00416b30    1 16           fcn.00416b30
0x00416450    1 16           fcn.00416450
0x00416e90    1 16           fcn.00416e90
0x004161a0    1 16           fcn.004161a0
0x00416260    1 16           fcn.00416260
0x00416f50    1 16           fcn.00416f50
