
Relocation section '.rel.dyn' at offset 0x1810 contains 4 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00000000  00000000 R_MIPS_NONE      
00425b00  0000137e R_MIPS_COPY       00425b00   stderr@GLIBC_2.0
00425b04  00005b7e R_MIPS_COPY       00425b04   stdout@GLIBC_2.0
00425b08  0000807e R_MIPS_COPY       00425b08   optarg@GLIBC_2.0

Relocation section '.rel.plt' at offset 0x1830 contains 125 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00425a84  00007f7f R_MIPS_JUMP_SLOT  00000000   umask@GLIBC_2.0
00425a88  0000817f R_MIPS_JUMP_SLOT  00000000   strtol@GLIBC_2.0
00425a8c  0000827f R_MIPS_JUMP_SLOT  00000000   connect@GLIBC_2.0
00425a90  0000837f R_MIPS_JUMP_SLOT  00000000   epoll_create1@GLIBC_2.9
00425a94  0000847f R_MIPS_JUMP_SLOT  00000000   recv@GLIBC_2.0
00425a98  0000857f R_MIPS_JUMP_SLOT  00000000   close@GLIBC_2.0
00425a9c  0000867f R_MIPS_JUMP_SLOT  00000000   closedir@GLIBC_2.0
00425aa0  0000877f R_MIPS_JUMP_SLOT  00000000   opendir@GLIBC_2.0
00425aa4  0000887f R_MIPS_JUMP_SLOT  00000000   pclose@GLIBC_2.2
00425aa8  0000897f R_MIPS_JUMP_SLOT  00000000   send@GLIBC_2.0
00425aac  00008a7f R_MIPS_JUMP_SLOT  00000000   calloc@GLIBC_2.0
00425ab0  00008b7f R_MIPS_JUMP_SLOT  00000000   strncat@GLIBC_2.0
