
Relocation section '.rel.dyn' at offset 0x2780 contains 4 entries:
 Offset     Info    Type            Sym.Value  Sym. Name
00000000  00000000 R_MIPS_NONE      
004b1cd0  0000527e R_MIPS_COPY       004b1cd0   stdout@GLIBC_2.0
004b16e4  0000667f R_MIPS_JUMP_SLOT  00000000   __xpg_basename@GLIBC_2.0
004b16e8  0000677f R_MIPS_JUMP_SLOT  00000000   sqlite3_column_text
004b16ec  0000687f R_MIPS_JUMP_SLOT  00000000   fcntl@GLIBC_2.28
004b16f0  0000697f R_MIPS_JUMP_SLOT  00000000   strrchr@GLIBC_2.0
004b16f4  00006a7f R_MIPS_JUMP_SLOT  00000000   zip_file_add
004b16f8  00006c7f R_MIPS_JUMP_SLOT  00000000   getsockname@GLIBC_2.0
004b16fc  00006d7f R_MIPS_JUMP_SLOT  00000000   sqlite3_bind_text
004b1700  00006e7f R_MIPS_JUMP_SLOT  00000000   getline@GLIBC_2.0
004b1704  00006f7f R_MIPS_JUMP_SLOT  00000000   fseek@GLIBC_2.0
004b1708  0000707f R_MIPS_JUMP_SLOT  00000000   getenv@GLIBC_2.0
004b170c  0000717f R_MIPS_JUMP_SLOT  00000000   fputs@GLIBC_2.0
004b1710  0000727f R_MIPS_JUMP_SLOT  00000000   statvfs@GLIBC_2.2
004b1714  0000737f R_MIPS_JUMP_SLOT  00000000   strchr@GLIBC_2.0
004b1718  0000747f R_MIPS_JUMP_SLOT  00000000   rename@GLIBC_2.0
004b171c  0000757f R_MIPS_JUMP_SLOT  00000000   pthread_detach@GLIBC_2.0
004b1720  0000767f R_MIPS_JUMP_SLOT  00000000   sqlite3_prepare_v2
004b1724  0000777f R_MIPS_JUMP_SLOT  004a0ef0   __libc_start_main@GLIBC_2.0
004b1728  0000787f R_MIPS_JUMP_SLOT  00000000   sqlite3_errmsg
004b172c  0000797f R_MIPS_JUMP_SLOT  00000000   __isoc99_sscanf@GLIBC_2.7
004b1730  00007a7f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_unlock@GLIBC_2.0
004b1734  00007b7f R_MIPS_JUMP_SLOT  00000000   pipe@GLIBC_2.0
004b1738  00007c7f R_MIPS_JUMP_SLOT  00000000   vsnprintf@GLIBC_2.0
004b173c  00007e7f R_MIPS_JUMP_SLOT  00000000   png_write_end@PNG16_0
004b1740  00007f7f R_MIPS_JUMP_SLOT  00000000   signal@GLIBC_2.0
004b1744  0000817f R_MIPS_JUMP_SLOT  00000000   sqlite3_busy_timeout
004b1748  0000827f R_MIPS_JUMP_SLOT  00000000   gettimeofday@GLIBC_2.0
004b174c  0000837f R_MIPS_JUMP_SLOT  00000000   sqlite3_changes
004b1750  0000847f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_init@GLIBC_2.0
004b1754  0000857f R_MIPS_JUMP_SLOT  00000000   png_set_longjmp_fn@PNG16_0
004b1758  0000877f R_MIPS_JUMP_SLOT  00000000   __ctype_b_loc@GLIBC_2.3
004b175c  0000887f R_MIPS_JUMP_SLOT  00000000   rand@GLIBC_2.0
004b1760  0000897f R_MIPS_JUMP_SLOT  00000000   recvfrom@GLIBC_2.0
004b1764  00008a7f R_MIPS_JUMP_SLOT  00000000   pthread_mutex_lock@GLIBC_2.0
004b1768  00008b7f R_MIPS_JUMP_SLOT  00000000   sync@GLIBC_2.0
004b176c  00008c7f R_MIPS_JUMP_SLOT  00000000   strtol@GLIBC_2.0
004b1770  00008d7f R_MIPS_JUMP_SLOT  00000000   pthread_cond_init@GLIBC_2.3.2
004b1774  00008e7f R_MIPS_JUMP_SLOT  00000000   pthread_create@GLIBC_2.2
004b1778  00008f7f R_MIPS_JUMP_SLOT  00000000   regexec@GLIBC_2.3.4
004b177c  0000907f R_MIPS_JUMP_SLOT  00000000   sqlite3_free
004b1780  0000917f R_MIPS_JUMP_SLOT  004a1060   free@GLIBC_2.0
004b1784  0000927f R_MIPS_JUMP_SLOT  00000000   clock@GLIBC_2.0
004b1788  0000937f R_MIPS_JUMP_SLOT  00000000   epoll_create1@GLIBC_2.9
004b178c  0000947f R_MIPS_JUMP_SLOT  00000000   strncmp@GLIBC_2.0
004b1790  0000957f R_MIPS_JUMP_SLOT  00000000   qsort@GLIBC_2.0
