0x00446670   65 2304         dbg._parse_network_interfaces
0x00446f70    1 72           dbg._parse_network_interfaces_notify
0x00447000   10 212          dbg.get_manufacturer
0x004470d4   28 1072         dbg.machine_get_cpu_info
0x00447504   28 2148 -> 1968 dbg.machine_get_sdcard_info
0x00447d68   23 1108         dbg.machine_get_dist_info
0x004481bc   27 1232         dbg.machine_get_virtual_info
0x00449778    3 76           dbg.free_gcode_meta_buf_value
0x004a1060    1 16           sym.imp.free
0x0044aa2c   12 428          dbg.parse_gcode_regex
0x0044c408   17 648          dbg.base_parse_gcode_start_byte
0x0044c690   23 888          dbg.base_parse_gcode_end_byte
0x0044da44  183 5852         dbg.base_parse_thumbnails
0x0044fbc8   20 864          dbg.cura_check_identity
0x0044ff28   13 404          dbg.cura_parse_layer_count
0x004500bc   13 480          dbg.cura_parse_object_height
0x0045029c   13 480          dbg.cura_parse_estimated_time
0x0045047c   13 480          dbg.cura_parse_nozzle_diameter
0x0045065c   13 480          dbg.cura_parse_layer_height
0x0045083c   13 480          dbg.cura_parse_first_layer_height
0x00450a1c   13 480          dbg.cura_parse_first_layer_extr_temp
0x00450bfc   13 480          dbg.cura_parse_first_layer_bed_temp
0x00450ddc   13 480          dbg.cura_parse_chamber_temp
0x00450fbc   13 632          dbg.cura_parse_filament_name
0x00451234   13 632          dbg.cura_parse_filament_type
0x004514ac   13 520  -> 396  dbg.cura_parse_filament_total
0x004516b4   13 480          dbg.cura_parse_filament_weight_total
0x00451894    6 200          dbg.unknownSlicer_check_identity
0x0045195c   13 480          dbg.unknownSlicer_parse_first_layer_height
0x00451b3c   13 480          dbg.unknownSlicer_parse_object_height
0x00451d1c   13 480          dbg.unknownSlicer_parse_first_layer_extr_temp
0x00451efc   13 480          dbg.unknownSlicer_parse_first_layer_bed_temp
0x004520dc   13 480          dbg.unknownSlicer_parse_chamber_temp
0x004522bc   11 256          dbg.unknownSlicera_parse_thumbnails
0x004523bc   20 908          dbg.PrusaSlicer_check_identity
0x00452748   13 404          dbg.PrusaSlicer_parse_layer_count
0x004528dc   15 820          dbg.PrusaSlicer_parse_object_height
0x00452c10   21 1036         dbg.PrusaSlicer_parse_estimated_time
0x0045301c   13 480          dbg.PrusaSlicer_parse_nozzle_diameter
0x004531fc   13 480          dbg.PrusaSlicer_parse_layer_height
0x004533dc   13 480          dbg.PrusaSlicer_parse_first_layer_height
0x004535bc   13 480          dbg.PrusaSlicer_parse_first_layer_extr_temp
0x0045379c   13 480          dbg.PrusaSlicer_parse_first_layer_bed_temp
0x0045397c   13 480          dbg.PrusaSlicer_parse_chamber_temp
0x00453b5c   13 632          dbg.PrusaSlicer_parse_filament_name
0x00453dd4   15 648          dbg.PrusaSlicer_parse_filament_type
0x0045405c   15 648          dbg.PrusaSlicer_parse_filament_ids
0x004542e4   40 1748 -> 1472 dbg.PrusaSlicer_parse_filament_color
0x004549b8   26 1040         dbg.PrusaSlicer_parse_filament_color_used
0x00454dc8   17 984  -> 716  dbg.PrusaSlicer_parse_filament_total
0x004551a0   17 984  -> 716  dbg.PrusaSlicer_parse_filament_weight_total
0x00455578   20 968          dbg.creality_check_identity
0x00455940   14 448  -> 452  dbg.creality_parse_layer_count
0x00455b00   14 524  -> 528  dbg.creality_parse_object_height
0x00455d0c   23 1356 -> 1248 dbg.creality_parse_estimated_time
0x00456258   13 480          dbg.creality_parse_nozzle_diameter
0x00456438   14 524  -> 528  dbg.creality_parse_layer_height
0x00456644   13 480          dbg.creality_parse_first_layer_height
0x00456824   14 524  -> 528  dbg.creality_parse_first_layer_extr_temp
0x00456a30   14 524  -> 528  dbg.creality_parse_first_layer_bed_temp
0x00456c3c   13 480          dbg.creality_parse_chamber_temp
0x00456e1c   14 680  -> 684  dbg.creality_parse_filament_name
0x004570c4   28 1136         dbg.creality_parse_filament_used
0x00457534   15 648          dbg.creality_parse_filament_ids
0x004577bc   16 696          dbg.creality_parse_filament_type
0x00457a74   42 1844 -> 1568 dbg.creality_parse_filament_color
0x004581a8   19 1080 -> 812  dbg.creality_parse_filament_total
0x004585e0   18 1032 -> 764  dbg.creality_parse_filament_weight_total
0x00459a40    7 212          dbg._handle_stat_request
0x00459b14    9 272          dbg._handle_stat_update
0x0045a098   16 564          dbg.proc_stats_get_moonraker_stats
0x0045a2cc    7 216          dbg.proc_stats_get_throttled_state
0x0045a3a4    8 392  -> 288  dbg.proc_stats_get_cpu_temp
0x0045a52c    8 276          dbg.proc_stats_get_system_uptime
0x0045aa40   42 1896 -> 1828 dbg.proc_stats_update_cpu_stats
0x0045b1a8   13 520          dbg.proc_stats_update_mem_stats
0x0045b3b0   39 2116 -> 1816 dbg.proc_stats_update_net_stats
0x0045bbf4    3 188          dbg.proc_stats_update_proc_stat_queue
0x0045becc    1 28           loc.0045becc
0x004a1070    1 16           fcn.004a1070
0x0045c2c0    8 188          dbg.exec_sudo_command
0x0045c37c    9 176          dbg.base_provider_do_service_action
0x0045c42c    1 36           dbg.base_provider_initialize
0x0045c450    4 96           dbg.base_provider_deinitialize
0x0045c4b0    8 284          dbg.base_provider_shutdown
0x0045c5cc    8 176          dbg.base_provider_reboot
0x0045c67c    4 84           dbg.base_provider_check_virt_status
0x0045c6d0    4 88           dbg.base_provider_get_available_services
0x0045c728   13 308          dbg.base_provider_get_available_services_list
0x0045c85c    6 96           dbg.base_provider_get_extract_service_info
0x0045c8bc   10 228          dbg.base_provider_is_service_available
0x0045f650    8 192          dbg.hash
0x004605e4   10 228          dbg.calculate_json_size
0x00461fec   10 296          dbg.exec_command_thread
0x00464b14  109 4260         dbg.parse_http_params
0x00465bb8    7 276          dbg.send_error_response
0x00465ccc   22 708          dbg.build_response_json
0x00465f90    1 380          sym.stdout_callback
0x004a14d0    1 16           fcn.004a14d0
