[Strings]
nth  paddr      vaddr      len size section type    string
110  0x00090320 0x00490320 5   6    .rodata ascii   0.1.1
111  0x00090328 0x00490328 11  12   .rodata ascii   %s/.%s.uuid
112  0x00090334 0x00490334 39  40   .rodata ascii   Failed to allocate memory for uuid_path
113  0x00090360 0x00490360 24  25   .rodata ascii   Failed to open UUID file
114  0x0009037c 0x0049037c 16  17   .rodata ascii   fgets failed: %s
115  0x00090390 0x00490390 4   5    .rodata ascii   %02x
116  0x0009039c 0x0049039c 36  37   .rodata ascii   Failed to open UUID file for writing
117  0x000903c8 0x004903c8 32  33   .rodata ascii   Invalid arguments for parse_argv
118  0x000903ec 0x004903ec 39  40   .rodata ascii   Failed to allocate memory for data_path
119  0x00090414 0x00490414 46  47   .rodata ascii   Matched option: --datapath (-d) with value: %s
120  0x00090444 0x00490444 41  42   .rodata ascii   Failed to allocate memory for config_path
121  0x00090470 0x00490470 48  49   .rodata ascii   Matched option: --configfile (-c) with value: %s
122  0x000904a4 0x004904a4 38  39   .rodata ascii   Failed to allocate memory for log_path
123  0x000904cc 0x004904cc 45  46   .rodata ascii   Matched option: --logfile (-l) with value: %s
124  0x000904fc 0x004904fc 46  47   .rodata ascii   Failed to allocate memory for unix_socket_path
125  0x0009052c 0x0049052c 48  49   .rodata ascii   Matched option: --unixsocket (-u) with value: %s
126  0x00090560 0x00490560 44  45   .rodata ascii   Matched option: --nolog (-n), disabling logs
127  0x00090590 0x00490590 45  46   .rodata ascii   Invalid debug level. Must be between 0 and 5.
128  0x000905c0 0x004905c0 43  44   .rodata ascii   Matched option: --debug (-g) with value: %d
129  0x000905ec 0x004905ec 26  27   .rodata ascii   Unknown option encountered
130  0x00090608 0x00490608 12  13   .rodata ascii   d:c:l:u:ng:h
131  0x00090618 0x00490618 23  24   .rodata ascii   Non-option argument: %s
132  0x00090630 0x00490630 19  20   .rodata ascii   WEBSERVER_DATA_PATH
133  0x00090644 0x00490644 15  16   .rodata ascii   %s/printer_data
134  0x00090654 0x00490654 30  31   .rodata ascii   Failed to get user information
135  0x00090674 0x00490674 21  22   .rodata ascii   WEBSERVER_CONFIG_PATH
136  0x0009068c 0x0049068c 17  18   .rodata ascii   %s/config/%s.conf
137  0x000906a0 0x004906a0 18  19   .rodata ascii   WEBSERVER_UDS_PATH
138  0x000906b4 0x004906b4 16  17   .rodata ascii   %s/comms/%s.sock
